token;freq
vienen;33
amor;64
muestra;18
amemos;5
temamos;5
ondra;13
mayormientre;27
diezmo;138
guardó;7
retovo;5
debdo;12
devemos;27
gentiles;5
leyes;50
coñocencia;6
verdadera;17
derechamient;21
mandamientos;9
ley;81
complidamient;7
engaño;21
somos;31
verdaderos;8
cruzes;6
calzes;4
vestimientas;7
sustentamientos;5
predican;5
dados;25
sagramientos;5
cristiandat;6
pobres;32
fambre;5
despiende;5
buenas;30
huebras;5
tantas;20
guisas;9
comunalmientre;23
grado;28
buena;95
acrecentamiento;5
temporal;22
dent;50
promete;9
qui·l;4
diere;34
dará;14
abundancia;7
fructos;11
provamos;5
veemos;5
fazen;80
acrecenta;5
megüen;1
mingua;13
crescan;5
ent;5
establecemos;8
vino;102
regnaren;52
derechamientre;17
clerizía;35
fallamos;33
engaños;7
limpio;6
sino;150
tañida;6
vezes;40
menazados;5
corridos;5
feridos;6
cojan;30
paladinamientre;5
meatad;43
doblo;19
salvas;12
establecimiento;11
espirital;5
acuerde;5
tenudas;7
fata;151
emienda;20
tollida;5
mandámosla;13
lunes;63
millán;85
aellón;70
sexto;15
seyendo;59
llamados;28
maestros;27
mejoramiento;15
estado;183
enrique;73
osórez;30
connosco;2
ordenamos;13
primeramiente;18
robo;16
fincando;6
emendar;37
robadores;4
desservicio;25
emendado;7
perdonemos;6
emplazámoslos;3
pascua;11
resurreción;2
vien;6
plazo;116
derribados;4
astragados;5
mientra;11
durare;10
aquellas;94
robadas;3
puestas;13
robado;9
cobre;13
escusse;2
niguno;2
diga;24
peindra;14
mostrare;11
privillegio;31
ayamos;20
confirmación;6
chancellería;36
sessenta;2
blanca;35
moravedí;48
tomare;19
registro;15
matemos;3
escrivanos;32
tantos;42
tales;91
tercias;18
primicias;3
cuartas;3
infançones;31
dando;42
suelen;24
entreguen;24
tomaron;48
passaron;9
rengalengo;52
abadengo;35
ordenado;18
privillegios;51
nigún;1
febrero;77
bernal;4
oyeren;84
uerta;2
judería;1
cerca;100
fossario;1
otrossí·l;1
almazenes;4
alcacería;2
arenal;2
corrales;7
tinajas;1
otorgámosle;12
crebantarla;35
sábado;76
seré;6
moraré;1
conducho;28
morare;6
logo;5
tomedes;25
atanto;2
despensero;6
dixere;1
sacardes;1
faredes;10
cuenta;185
mandar;105
volo;3
pagar;71
fazeldo;2
mengó;1
embío;14
poridat;14
silos;6
xvi;25
setembre;2
xxi;13
onras;6
cristiandad;3
mengüen;5
derechamiente;3
clerezía;7
meetad;12
tenidas;6
xxiii;20
ochubre;39
vive;26
regna;6
bienaventurada;8
celestial;11
creaturas;2
señaló;63
e·l;11
entendimiento;12
coñocer;4
mal;121
obrasse;2
sopiesse;4
obrare;1
de·l;14
gualardón;15
solamientre;2
señero;2
enxiemplo;1
vence;3
torna;6
mucha;64
villamayor;22
teresa;17
sirvió;15
lealmientre;12
mayorga;4
cercaron;5
gentes;8
costa;45
amparasse;2
pampliga;1
dámosgela;5
salidas;28
puedan;155
religión;29
retenemos;13
forera;18
mineras;7
adelantre;87
paz;86
